book_order,book,chapter,verse,reference,syriac
1,Genesis,7,11,Genesis 7:11,בשנת שת מאה שנין לחיי נח בירחא תנינא בשבעת עשרא יומא לירחא ביומא הדין אתבזעו כל מבועי תהומא רבא וכוי שמיא אתפתחו:
1,Genesis,7,12,Genesis 7:12,והוה מטרא נחת על ארעא ארבעין יממין וארבעין לילון:
1,Genesis,7,13,Genesis 7:13,בכרן יומא הדין על נח ושם וחם ויפת בני נח ואתת נח ותלתא נשי בנוהי עמהון לתבותא:
1,Genesis,7,14,Genesis 7:14,אנון וכל חיתא לזנה וכל בעירא לזנה וכל רחשא דרחש על ארעא לזנוהי וכל עופא לזנוהי כל צפר כל דפרח:
1,Genesis,7,15,Genesis 7:15,ועלו עם נח לתבותא תרין תרין מכל בשרא די ביה רוחא דחיי:
1,Genesis,7,16,Genesis 7:16,ועליא דכר ונקבא מכל בשרא עלו כמא די פקיד יתיה יי ואגן יי עלוהי:
1,Genesis,7,17,Genesis 7:17,והוה טופנא ארבעין יומין על ארעא וסגיאו מיא ונטלו ית תבותא ואתרמת מעל ארעא:
1,Genesis,7,18,Genesis 7:18,ותקיפו מיא וסגיאו לחדא על ארעא ומהלכא תבותא על אפי מיא:
1,Genesis,7,19,Genesis 7:19,ומיא תקיפו לחדא לחדא על ארעא ואתחפיאו כל טוריא רמיא די תחות כל שמיא:
1,Genesis,7,20,Genesis 7:20,חמש עשרה אמין מלעלא תקיפו מיא ואתחפיאו טוריא:
1,Genesis,7,21,Genesis 7:21,ומית כל בשרא דרחש על ארעא בעופא ובבעירא ובחיתא ובכל רחשא דרחש על ארעא וכל אנשא:
1,Genesis,7,22,Genesis 7:22,כל די נשמתא רוחא דחיין באנפוהי מכל די ביבשתא מיתו:
1,Genesis,7,23,Genesis 7:23,ומחא ית כל יקומא די על אפי ארעא מאנשא עד בעירא עד רחשא ועד עופא דשמיא ואתמחיאו מן ארעא ואשתאר ברם נח ודי עמיה בתבותא:
1,Genesis,7,24,Genesis 7:24,ותקיפו מיא על ארעא מאה וחמשין יומין:
1,Genesis,8,1,Genesis 8:1,ודכיר יי ית נח וית כל חיתא וית כל בעירא די עמיה בתבותא ואעבר יי רוחא על ארעא ונחו מיא:
1,Genesis,8,2,Genesis 8:2,ואסתכרו מבועי תהומא וכוי שמיא ואתכלי מטרא מן שמיא:
1,Genesis,8,3,Genesis 8:3,ותבו מיא מעל ארעא אזלין ותיבין וחסרו מיא מסוף מאה וחמשין יומין:
1,Genesis,8,4,Genesis 8:4,ונחת תבותא בירחא שביעאה בשבעת עשר יומא לירחא על טורי קרדו:
1,Genesis,8,5,Genesis 8:5,ומיא הוו אזלין וחסרין עד ירחא עשיראה בעשיראה בחד לירחא אתחזיאו רישי טוריא:
1,Genesis,8,6,Genesis 8:6,והוה מסוף ארבעין יומין ופתח נח ית כות תבותא די עבד:
1,Genesis,8,7,Genesis 8:7,ושלח ית ערבא ונפק מפק ותיב עד דיבישו מיא מעל ארעא:
1,Genesis,8,8,Genesis 8:8,ושלח ית יונה מלותיה למחזי הקליאו מיא מעל אפי ארעא:
1,Genesis,8,9,Genesis 8:9,ולא אשכחת יונה מנח לפרסת רגלה ותבת לותיה לתבותא ארי מיא על אפי כל ארעא ואושיט ידיה ונסבה ואעיל יתה לותיה לתבותא:
1,Genesis,8,10,Genesis 8:10,ואוריך עוד שבעא יומין אחרנין ואוסיף שלח ית יונה מן תבותא:
1,Genesis,8,11,Genesis 8:11,ואתת לותיה יונה לעדן רמשא והא טרף זיתא תביר נחית בפומה וידע נח ארי קליאו מיא מעל ארעא:
1,Genesis,8,12,Genesis 8:12,ואוריך עוד שבעה יומין אחרנין ושלח ית יונה ולא אוסיפת למתוב לותיה עוד:
1,Genesis,8,13,Genesis 8:13,והוה בשת מאה וחד שנין בקדמאה בחד לירחא נגובו מיא מעל ארעא ואעדי נח ית חופאה דתבותא וחזא והא נגובו אפי ארעא:
1,Genesis,8,14,Genesis 8:14,ובירחא תנינא בעשרין ושבעא יומא לירחא יבישת ארעא:
1,Genesis,8,15,Genesis 8:15,ומליל יי עם נח למימר:
